Resource ID,Metadata Version,Metadata Language,Title,Logos Title,Abbreviated Title,Logos Abbreviated Title,Resource Type,Edition,Authors,My Tags,Community Tags,My Rating,Community Rating,Publishers,Publication Date,Electronic Publication Date,Series,Subjects,Languages,File Name,File Version,Last Updated,License
LLS:FBHOTLEX-PT,2025-03-07T22:41:50Z,português,Léxico Lexham da Bíblia Hebraica,Léxico Lexham da Bíblia Hebraica,LLBH,LLBH,Léxico,Logos Research,"Brannan, Rick","","",,"4,2",Lexham Press,2020,2020,"","",português,FBHOTLEX-PT.logos4,2021-02-27T04:43:00Z,2025-01-04T15:02:00-03:00,Permanente
LLS:DBL324F457845CB5D21,2023-07-20T16:53:52Z,Ngulu,Ndagano mp'ya kwa wanth'u wose,Ndagano mp'ya kwa wanth'u wose,NgBV,NgBV,Bíblia,Logos Reader,"","","",,"3,0",Pioneer Bible Translators,2014,2022,"",Bible.,Ngulu,DBL324F457845CB5D21.logos4,2023-07-09T18:36:07Z,2025-07-01T18:38:54-03:00,Permanente
LLS:DBL01C25B8715DBB632,2025-06-04T19:18:38Z,espanhol,Nueva Versión Internacional,Nueva Versión Internacional,NVI,NVI,Bíblia,Logos Reader,"","","",,"3,4","Biblica, Inc.",2022,2023,"",Bible.,espanhol,DBL01C25B8715DBB632.logos4,2026-03-06T20:32:29Z,2026-03-28T23:05:53-03:00,Permanente
DB:BIBLICAL-PEOPLE-DIAGRAMS-PT,2022-03-02T01:34:45Z,português,Diagramas de Pessoas da Bíblia (Português),Diagramas de Pessoas da Bíblia (Português),"","",Diagramas de Pessoas da Bíblia,Logos Research,"","","",,"3,6","",2018,2018,"","",português,StaticPeopleGraphs-PT.lbsspd,2018-10-16T03:33:54Z,2025-01-04T15:02:00-03:00,Permanente
LLS:FBGNTLEX-PT,2025-03-07T22:41:54Z,português,Léxico Lexham do Novo Testamento Grego,Léxico Lexham do Novo Testamento Grego,LLEXNTG,LLEXNTG,Léxico,Logos Research,"Brannan, Rick","","",,"4,4",Lexham Press,2020,2020,"","",português,FBGNTLEX-PT.logos4,2021-02-04T19:17:14Z,2025-01-04T15:02:00-03:00,Permanente
LLS:FBHOTMSS-PT,2024-03-25T19:42:53Z,português,Manuscritos da Bíblia Hebraica,Manuscritos da Bíblia Hebraica,"","",Monografia,Logos Research,"Brannan, Rick","","",,"3,6",Lexham Press,2020,2020,"","",português,FBHOTMSS-PT.logos4,2020-10-28T21:58:59Z,2025-01-04T15:02:00-03:00,Permanente
LLS:SHA036,2016-12-15T16:37:42Z,inglês,Tacitus (Latin),Tacitus (Latin),"","",Monografia,Logos Research,"Vopiscus, Flavius","",perseus; latin; perseusclassics; classics; classicslatin,,"1,7",Perseus Digital Library,"",2011,"",Classics--Latin--History.,latim,SHA036.logos4,2013-08-13T02:37:41Z,2025-01-04T15:02:00-03:00,Permanente
LLS:900.1.1970,2023-09-18T22:30:08Z,inglês,The Seventh-day Adventist Bible Atlas,The Seventh-day Adventist Bible Atlas,"","",Atlas,Logos Research,"","",sda; atlas; maps; adventist; map,,"3,6",Review & Herald,"",2002,"",Seventh-day Adventist Bible Commentary.,inglês,IV_ATL.logos4,2012-04-05T16:11:39Z,2025-01-04T15:02:00-03:00,Permanente
LLS:FBECUMENCOUNCLS-PT,2024-10-17T10:55:11Z,português,Concílios Ecumênicos,Concílios Ecumênicos,"","",História da Igreja,Logos Research,"Parks, Jessica","","",,"3,4",Faithlife,2022,2022,Listas Teológicas e Bíblicas Faithlife,EcumenicalCouncils.,português,FBECUMENCOUNCLS-PT.logos4,2022-10-06T18:37:03Z,2025-01-04T15:02:00-03:00,Permanente
LLS:GS_TYNBUL_01,2025-10-21T17:39:14Z,inglês,Tyndale Bulletin Volume 1,Tyndale Bulletin Volume 1,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1956,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_01.logos4,2025-10-13T16:54:03Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_02,2025-10-21T17:39:15Z,inglês,Tyndale Bulletin Volume 2,Tyndale Bulletin Volume 2,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1956,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_02.logos4,2025-10-16T20:58:09Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_03,2025-10-21T17:39:16Z,inglês,Tyndale Bulletin Volume 3,Tyndale Bulletin Volume 3,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1957,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_03.logos4,2025-10-13T16:53:26Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_09,2025-10-21T17:39:20Z,inglês,Tyndale Bulletin Volume 9,Tyndale Bulletin Volume 9,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale; tyndale-bulletin,,"2,8",Tyndale,1961,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_09.logos4,2025-10-13T16:52:29Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_10,2025-10-21T17:39:21Z,inglês,Tyndale Bulletin Volume 10,Tyndale Bulletin Volume 10,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1962,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_10.logos4,2025-10-13T16:52:11Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_11,2025-10-21T17:39:22Z,inglês,Tyndale Bulletin Volume 11,Tyndale Bulletin Volume 11,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1962,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_11.logos4,2025-10-13T16:50:49Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_12,2025-10-21T17:39:23Z,inglês,Tyndale Bulletin Volume 12,Tyndale Bulletin Volume 12,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale; tyndale-bulletin,,"2,8",Tyndale,1963,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_12.logos4,2025-10-13T16:50:11Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_13,2025-10-21T17:39:24Z,inglês,Tyndale Bulletin Volume 13,Tyndale Bulletin Volume 13,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1963,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_13.logos4,2025-10-13T16:49:29Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_14,2025-10-21T17:39:25Z,inglês,Tyndale Bulletin Volume 14,Tyndale Bulletin Volume 14,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1964,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_14.logos4,2025-10-13T16:48:49Z,2025-12-01T22:15:31-03:00,Permanente
LLS:GS_TYNBUL_15,2025-10-21T17:39:26Z,inglês,Tyndale Bulletin Volume 15,Tyndale Bulletin Volume 15,"","",Diário,Logos Research,Tyndale House,"",journal; journals; theology; tyndale-bulletin; reviewed,,"2,8",Tyndale,1964,2010,Tyndale Bulletin,Theology--Periodicals.,inglês,GS_TYNBUL_15.logos4,2025-10-13T16:48:30Z,2025-12-01T22:15:31-03:00,Permanente
