Resource ID,Metadata Version,Metadata Language,Title,Logos Title,Abbreviated Title,Logos Abbreviated Title,Resource Type,Edition,Authors,My Tags,Community Tags,My Rating,Community Rating,Publication Date,Electronic Publication Date,Series,Subjects,Languages,File Name,File Version,Last Updated,License
LLS:INCARNATION,2014-02-08T00:09:33Z,inglês,On the Incarnation,On the Incarnation,"","",Monografia,Logos,"Frere, John Alexander","",incarnation,,"2,9",1853,2014,"",Incarnation--History of doctrines.,inglês,INCARNATION.logos4,2014-02-03T22:16:02Z,2014-09-05T01:18:29-04:00,Permanente
LLS:VBSCMDSGSPLNCRN,2014-02-08T00:09:33Z,inglês,Nobiscum Deus: The Gospel of the Incarnation,Nobiscum Deus: The Gospel of the Incarnation,"","",Monografia,Logos,"Faber, William Frederic","","",,"2,7",1893,2014,"",Incarnation.,inglês,VBSCMDSGSPLNCRN.logos4,2014-02-03T22:15:49Z,2014-09-05T01:18:29-04:00,Permanente
LLS:LFCHRSTSTSCRPTR,2014-02-08T00:09:33Z,inglês,"Life in Christ: A Study of the Scripture Doctrine on the Nature of Man, the Object of the Divine Incarnation, and the Conditions of Human Immortality","Life in Christ: A Study of the Scripture Doctrine on the Nature of Man, the Object of the Divine Incarnation, and the Conditions of Human Immortality","","",Monografia,Logos,"White, Edward","",incarnation,,"2,9",1878,2014,"",Immortality.; Incarnation.; Man (Theology).,inglês,LFCHRSTSTSCRPTR.logos4,2014-02-03T22:15:37Z,2014-09-05T01:18:29-04:00,Permanente
LLS:LCTRSNCRNTNGD,2014-02-08T00:09:33Z,inglês,Lectures on the Incarnation of God,Lectures on the Incarnation of God,"","",Monografia,Logos,"Strong, E. L.","",incarnation,,"2,9",1917,2014,"",Incarnation.,inglês,LCTRSNCRNTNGD.logos4,2014-02-03T22:15:11Z,2014-09-05T01:18:29-04:00,Permanente
LLS:NCRNTNSTPHLPPNS,2014-02-08T00:09:33Z,inglês,The Incarnation: A Study of Philippians 2:5–11,The Incarnation: A Study of Philippians 2:5–11,"","",Monografia,Logos,"Gifford, E. H.","",incarnation,,"3,0",1897,2014,"","Bible. N.T. Philippians 2:5-11--Criticism, interpretation, etc.; Incarnation.",inglês,NCRNTNSTPHLPPNS.logos4,2014-02-03T22:14:45Z,2014-09-05T01:18:29-04:00,Permanente
LLS:NCRNTNLRDSRSSRM,2014-02-08T00:09:33Z,inglês,The Incarnation of the Lord: A Series of Sermons,The Incarnation of the Lord: A Series of Sermons,"","",Monografia,Logos,"Briggs, Charles Augustus","",incarnation,,"2,7",1902,2014,"","Incarnation.; Sermons, English.",inglês,NCRNTNLRDSRSSRM.logos4,2014-02-03T22:14:33Z,2014-09-05T01:18:29-04:00,Permanente
LLS:NCRNTNRCNTCRTCS,2014-02-08T00:09:33Z,inglês,The Incarnation and Recent Criticism,The Incarnation and Recent Criticism,"","",Monografia,Logos,"Cooke, R. J.","",incarnation,,"2,9",1907,2014,"",Incarnation.,inglês,NCRNTNRCNTCRTCS.logos4,2014-02-03T22:14:21Z,2014-09-05T01:18:29-04:00,Permanente
LLS:GDMNNNQRYCHRCTR,2014-02-08T00:09:33Z,inglês,The God-Man: An Enquiry into the Character and Evidences of the Christian Incarnation,The God-Man: An Enquiry into the Character and Evidences of the Christian Incarnation,"","",Monografia,Logos,"Townsend, T. L.","",incarnation,,"2,9",1881,2014,"",Christianity and other religions.; Jesus Christ--Person and offices.,inglês,GDMNNNQRYCHRCTR.logos4,2014-02-03T22:13:59Z,2014-09-05T01:18:29-04:00,Permanente
LLS:DCTRNNCRNTN,2014-02-08T00:09:33Z,inglês,The Doctrine of the Incarnation,The Doctrine of the Incarnation,"","",Monografia,Logos,"Ottley, Robert L.","",incarnation,,"3,1",1908,2014,"",Incarnation--History of doctrines.,inglês,DCTRNNCRNTN.logos4,2014-02-03T22:13:47Z,2014-09-05T01:18:29-04:00,Permanente
LLS:DCTRNNCRNTNRLRD,2014-02-08T00:09:33Z,inglês,"The Doctrine of the Incarnation of Our Lord Jesus Christ, in Its Relation to Mankind and to the Church","The Doctrine of the Incarnation of Our Lord Jesus Christ, in Its Relation to Mankind and to the Church","","",Monografia,Logos,"Wilberforce, Robert Isaac","",incarnation,,"2,9",1849,2014,"",Incarnation.,inglês,DCTRNNCRNTNRLRD.logos4,2014-02-03T22:13:31Z,2014-09-05T01:18:29-04:00,Permanente
